Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,5.62925,62.40419,972967,3260.70018629,5.625,62.375,1
Dcon,18.86448,69.845271,856298,3341.14022144,18.875,69.875,1
Dcon,31.088378,70.398108,842797,2920.68167705,31.125,70.375,1
Dcon,17.980322,69.64629,862564,2524.03335696,17.9583333333,69.625,1
Dcon,18.903057,69.653911,862572,3404.40983372,18.875,69.625,1
Dcon,-6.55,43.540001,1398029,698.479780154,-6.54166666667,43.5416666667,1
Dcon,-6.2,43.57,1398033,3219.14484589,-6.20833333333,43.5416666667,1
Dcon,-6.94,43.57,1398024,3479.07389429,-6.95833333333,43.5416666667,1
Dcon,-8.81,42.200001,1433849,1774.54365059,-8.79166666667,42.2083333333,1
Dcon,-70.0333,43.7333,1392901,2854.72073917,-70.0416666667,43.7083333333,1
Dcon,-79.10349,53.45528,1171625,1468.68758049,-79.125,53.4583333333,1
Dcon,132.694735,42.871681,1415905,1170.67525716,132.708333333,42.875,1
